benchmark,tool,n_qubits,n_gates,status,optimal_depth,repeats,elapsed_mean,elapsed_std,elapsed_min,elapsed_max,n_ok,n_timeout,n_error,depth_consistent,ub_value_used,ub_source,valid,cxdepth,objective,depth,cx_depth,cx_count,lower_bound
16QBT_05CYC_TFL_0.qasm,ub,16,27,SAT,5,1,0.7100349000247661,0.0,0.7100349000247661,0.7100349000247661,1,0,0,,10,map,,False,depth,5,5,17,5
16QBT_10CYC_TFL_0.qasm,ub,16,39,SAT,9,1,13.670411700004479,0.0,13.670411700004479,13.670411700004479,1,0,0,,29,map,,False,depth,9,9,34,7
16QBT_15CYC_TFL_0.qasm,ub,16,43,SAT,16,1,63.71638329999405,0.0,63.71638329999405,63.71638329999405,1,0,0,,51,map,,False,depth,16,16,63,10
16QBT_20CYC_TFL_0.qasm,ub,16,65,SAT,20,1,821.7861734000035,0.0,821.7861734000035,821.7861734000035,1,0,0,,65,map,,False,depth,20,20,76,14
16QBT_25CYC_TFL_0.qasm,ub,16,86,SAT,23,1,1836.1212755999877,0.0,1836.1212755999877,1836.1212755999877,1,0,0,,64,map,,False,depth,23,23,82,14
16QBT_30CYC_TFL_0.qasm,ub,16,97,TIMEOUT_PARTIAL,-1,1,7200.008489699976,0.0,7200.008489699976,7200.008489699976,0,1,0,,69,map,,False,depth,-1,-1,-1,-1
16QBT_35CYC_TFL_0.qasm,ub,16,109,SAT,42,1,1248.7956519,0.0,1248.7956519,1248.7956519,1,0,0,,150,map,,False,depth,42,42,177,25
16QBT_40CYC_TFL_0.qasm,ub,16,143,TIMEOUT_PARTIAL,-1,1,7200.000819899986,0.0,7200.000819899986,7200.000819899986,0,1,0,,161,map,,False,depth,-1,-1,-1,-1
16QBT_45CYC_TFL_0.qasm,ub,16,129,TIMEOUT_PARTIAL,-1,1,7200.001124300004,0.0,7200.001124300004,7200.001124300004,0,1,0,,155,map,,False,depth,-1,-1,-1,-1
