benchmark,tool,n_qubits,n_gates,status,optimal_depth,repeats,elapsed_mean,elapsed_std,elapsed_min,elapsed_max,n_ok,n_timeout,n_error,depth_consistent,ub_value_used,ub_source,valid,cxdepth,objective,depth,cx_depth,cx_count,lower_bound
mod_mult_55.qasm,ub,9,111,SAT,75,1,5045.296831400003,0.0,5045.296831400003,5045.296831400003,1,0,0,,196,map,,False,depth,75,72,139,54
rc_adder_6.qasm,ub,14,172,SAT,111,1,4886.99112169999,0.0,4886.99112169999,4886.99112169999,1,0,0,,291,map,,False,depth,111,111,413,100
