benchmark,ub
4gt13_92,185
4mod5-v1_22,54
adder,31
barenco_tof_4,172
barenco_tof_5,282
mod5mils_65,107
mod_mult_55,180
or,41
qaoa5,20
qft_8,144
rc_adder_6,303
tof_4,104
tof_5,147
toffoli,28
vbe_adder_3,180
