t,phase,sat,elapsed_sec,conflicts,decisions,propagations,restarts,n_vars,n_clauses,var_counts_delta,clause_counts_delta
25,ub-probe,True,0.6446608000042033,7440,30590,1834227,251,7726,124759,"{""a"": 525, ""sw"": 400, ""mp"": 2000, ""oc"": 400, ""e"": 250, ""c"": 525, ""d"": 525, ""u"": 400, ""_amn_r"": 2300, ""st"": 400, ""asm"": 1}","{""gates"": 29645, ""swap"": 20428, ""mapping"": 21525, ""connectivity"": 60275, ""assumptions"": 21}"
24,ub-linear,True,0.006980500002100598,141,2231,26327,0,7727,124896,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 21}"
23,ub-linear,True,0.0029051000019535422,31,1891,10112,0,7728,124944,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 21}"
22,ub-linear,True,1.4024322000041138,22354,78448,4199336,1461,7729,117176,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 21}"
21,ub-linear,True,0.23741159999917727,2988,8741,465066,149,7730,120821,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 21}"
20,ub-linear,True,0.13615109999955166,3352,8382,383405,123,7731,123737,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 21}"
19,ub-linear,False,0.28931700000248384,6390,15349,762401,540,7732,121827,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 21}"
