t,phase,sat,elapsed_sec,conflicts,decisions,propagations,restarts,n_vars,n_clauses,var_counts_delta,clause_counts_delta
95,lb,False,0.017424199999368284,264,891,59814,3,61841,1671890,"{""a"": 9880, ""sw"": 1520, ""mp"": 13680, ""oc"": 1520, ""e"": 3420, ""c"": 9880, ""d"": 9880, ""u"": 1520, ""_amn_r"": 9020, ""st"": 1520, ""asm"": 1}","{""mapping"": 173375, ""connectivity"": 825550, ""gates"": 1380866, ""swap"": 115836, ""assumptions"": 104}"
96,lb,False,1.0522143999987748,2378,6064,471783,34,62494,1647821,"{""a"": 104, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 104, ""d"": 104, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8690, ""gates"": 14542, ""swap"": 1232, ""assumptions"": 104}"
97,lb,False,1.4083909999972093,3095,7316,1737648,41,63147,1525737,"{""a"": 104, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 104, ""d"": 104, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8690, ""gates"": 14542, ""swap"": 1232, ""assumptions"": 104}"
98,lb,False,5.859749800001737,10689,26640,3941618,272,63800,1496588,"{""a"": 104, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 104, ""d"": 104, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8690, ""gates"": 14542, ""swap"": 1232, ""assumptions"": 104}"
99,lb,False,1.1792531000028248,10817,34505,2273466,366,64453,1500915,"{""a"": 104, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 104, ""d"": 104, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8690, ""gates"": 14542, ""swap"": 1232, ""assumptions"": 104}"
100,lb,False,4.94996479999827,8983,32661,4172923,345,65106,1506450,"{""a"": 104, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 104, ""d"": 104, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8690, ""gates"": 14542, ""swap"": 1232, ""assumptions"": 104}"
101,lb,False,0.8288991000008537,8309,29262,1619130,392,65759,1537377,"{""a"": 104, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 104, ""d"": 104, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8690, ""gates"": 14542, ""swap"": 1232, ""assumptions"": 104}"
102,lb,False,2.7345902000015485,13418,34189,3999079,389,66412,1560525,"{""a"": 104, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 104, ""d"": 104, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8690, ""gates"": 14542, ""swap"": 1232, ""assumptions"": 104}"
103,lb,False,7.209337299995241,29448,119083,9668137,2882,67065,1579361,"{""a"": 104, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 104, ""d"": 104, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8690, ""gates"": 14542, ""swap"": 1232, ""assumptions"": 104}"
104,lb,False,8.506718600001477,36763,128662,11253227,2756,67718,1613185,"{""a"": 104, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 104, ""d"": 104, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8690, ""gates"": 14542, ""swap"": 1232, ""assumptions"": 104}"
105,lb,False,3.1510023000009824,19071,62194,5053908,538,68371,1635035,"{""a"": 104, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 104, ""d"": 104, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8690, ""gates"": 14542, ""swap"": 1232, ""assumptions"": 104}"
106,lb,False,1.699735200003488,17091,39022,3698925,382,69024,1629348,"{""a"": 104, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 104, ""d"": 104, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8690, ""gates"": 14542, ""swap"": 1232, ""assumptions"": 104}"
107,lb,False,10.680838799999037,36109,119754,12110810,2457,69677,1610673,"{""a"": 104, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 104, ""d"": 104, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8690, ""gates"": 14542, ""swap"": 1232, ""assumptions"": 104}"
108,lb,False,0.9238096000044607,7254,16784,1572551,214,70330,1640715,"{""a"": 104, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 104, ""d"": 104, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8690, ""gates"": 14542, ""swap"": 1232, ""assumptions"": 104}"
109,lb,False,4.5734155000027386,23770,67543,6848727,1512,70983,1690085,"{""a"": 104, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 104, ""d"": 104, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8690, ""gates"": 14542, ""swap"": 1232, ""assumptions"": 104}"
110,lb,False,18.119736900000134,87486,283923,25581869,2809,71636,1712596,"{""a"": 104, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 104, ""d"": 104, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8690, ""gates"": 14542, ""swap"": 1232, ""assumptions"": 104}"
111,lb,False,8.978414900004282,58213,177317,16355327,1695,72289,1749107,"{""a"": 104, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 104, ""d"": 104, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8690, ""gates"": 14542, ""swap"": 1232, ""assumptions"": 104}"
112,lb,True,10.046468599997752,46930,157492,16422307,1610,72942,1773007,"{""a"": 104, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 104, ""d"": 104, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8690, ""gates"": 14542, ""swap"": 1232, ""assumptions"": 104}"
