t,phase,sat,elapsed_sec,conflicts,decisions,propagations,restarts,n_vars,n_clauses,var_counts_delta,clause_counts_delta
12,lb,False,0.004912500000500586,213,713,18251,10,3657,55867,"{""a"": 252, ""sw"": 192, ""mp"": 960, ""oc"": 192, ""e"": 120, ""c"": 252, ""d"": 252, ""u"": 192, ""_amn_r"": 1052, ""st"": 192, ""asm"": 1}","{""mapping"": 10332, ""connectivity"": 28932, ""gates"": 14154, ""swap"": 9356, ""assumptions"": 21}"
13,lb,False,0.010419300000648946,322,788,37746,15,3971,60363,"{""a"": 21, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 21, ""d"": 21, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2411, ""gates"": 1190, ""swap"": 848, ""assumptions"": 21}"
14,lb,False,0.04446460000326624,1435,4025,168881,70,4285,66709,"{""a"": 21, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 21, ""d"": 21, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2411, ""gates"": 1190, ""swap"": 848, ""assumptions"": 21}"
15,lb,False,0.056212800001958385,2057,5248,226969,47,4599,73387,"{""a"": 21, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 21, ""d"": 21, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2411, ""gates"": 1190, ""swap"": 848, ""assumptions"": 21}"
16,lb,False,0.2259425999945961,3110,8281,631502,107,4913,77193,"{""a"": 21, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 21, ""d"": 21, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2411, ""gates"": 1190, ""swap"": 848, ""assumptions"": 21}"
17,lb,False,0.6413675000003423,10150,28365,2092026,500,5227,78901,"{""a"": 21, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 21, ""d"": 21, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2411, ""gates"": 1190, ""swap"": 848, ""assumptions"": 21}"
18,lb,False,0.21739130000059959,6118,17238,628092,525,5541,82817,"{""a"": 21, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 21, ""d"": 21, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2411, ""gates"": 1190, ""swap"": 848, ""assumptions"": 21}"
19,lb,False,0.1462660999968648,4058,9842,425265,184,5855,90308,"{""a"": 21, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 21, ""d"": 21, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2411, ""gates"": 1190, ""swap"": 848, ""assumptions"": 21}"
20,lb,True,0.39269039999635424,3474,9774,828297,113,6169,111803,"{""a"": 21, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 21, ""d"": 21, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2411, ""gates"": 1190, ""swap"": 848, ""assumptions"": 21}"
