t,phase,sat,elapsed_sec,conflicts,decisions,propagations,restarts,n_vars,n_clauses,var_counts_delta,clause_counts_delta
20,ub-probe,True,0.0474778999996488,1068,3833,145208,18,6221,95625,"{""a"": 440, ""sw"": 320, ""mp"": 1600, ""oc"": 320, ""e"": 200, ""c"": 440, ""d"": 440, ""u"": 320, ""_amn_r"": 1820, ""st"": 320, ""asm"": 1}","{""gates"": 22650, ""swap"": 16188, ""mapping"": 17220, ""connectivity"": 48160, ""assumptions"": 22}"
19,ub-linear,True,0.0035635999956866726,123,2013,20726,0,6222,95757,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 22}"
18,ub-linear,True,0.0006689000001642853,0,1518,5730,0,6223,95779,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 22}"
17,ub-linear,True,0.00518259999807924,152,1936,27855,8,6224,95940,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 22}"
16,ub-linear,True,0.0015186999953584746,23,1713,10796,3,6225,95983,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 22}"
15,ub-linear,True,0.000555599996005185,0,1513,5733,0,6226,96005,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 22}"
14,ub-linear,True,0.0004962000020896085,0,1513,5734,0,6227,96027,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 22}"
