t,phase,sat,elapsed_sec,conflicts,decisions,propagations,restarts,n_vars,n_clauses,var_counts_delta,clause_counts_delta
8,lb,False,0.0021546000061789528,129,463,11143,9,1973,16736,"{""a"": 128, ""sw"": 128, ""mp"": 384, ""oc"": 128, ""e"": 24, ""c"": 128, ""d"": 128, ""u"": 128, ""_amn_r"": 668, ""st"": 128, ""asm"": 1}","{""mapping"": 3800, ""connectivity"": 5808, ""gates"": 6192, ""swap"": 4620, ""assumptions"": 16}"
9,lb,False,0.0075127000018255785,330,1076,34917,23,2233,19002,"{""a"": 16, ""sw"": 16, ""mp"": 48, ""oc"": 16, ""e"": 3, ""c"": 16, ""d"": 16, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 475, ""connectivity"": 726, ""gates"": 786, ""swap"": 656, ""assumptions"": 16}"
10,lb,False,0.02315420000377344,954,3288,105763,96,2493,22403,"{""a"": 16, ""sw"": 16, ""mp"": 48, ""oc"": 16, ""e"": 3, ""c"": 16, ""d"": 16, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 475, ""connectivity"": 726, ""gates"": 786, ""swap"": 656, ""assumptions"": 16}"
11,lb,False,0.06512769999972079,2073,5694,272158,113,2753,25970,"{""a"": 16, ""sw"": 16, ""mp"": 48, ""oc"": 16, ""e"": 3, ""c"": 16, ""d"": 16, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 475, ""connectivity"": 726, ""gates"": 786, ""swap"": 656, ""assumptions"": 16}"
12,lb,False,0.09619820000079926,2135,5474,371572,113,3013,34370,"{""a"": 16, ""sw"": 16, ""mp"": 48, ""oc"": 16, ""e"": 3, ""c"": 16, ""d"": 16, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 475, ""connectivity"": 726, ""gates"": 786, ""swap"": 656, ""assumptions"": 16}"
13,lb,False,0.19144759999471717,3812,10272,801933,240,3273,25697,"{""a"": 16, ""sw"": 16, ""mp"": 48, ""oc"": 16, ""e"": 3, ""c"": 16, ""d"": 16, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 475, ""connectivity"": 726, ""gates"": 786, ""swap"": 656, ""assumptions"": 16}"
14,lb,True,0.023694700001215097,951,3825,89823,99,3533,30561,"{""a"": 16, ""sw"": 16, ""mp"": 48, ""oc"": 16, ""e"": 3, ""c"": 16, ""d"": 16, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 475, ""connectivity"": 726, ""gates"": 786, ""swap"": 656, ""assumptions"": 16}"
