t,phase,sat,elapsed_sec,conflicts,decisions,propagations,restarts,n_vars,n_clauses,var_counts_delta,clause_counts_delta
11,lb,False,0.021185400000831578,753,2285,90384,50,3190,37428,"{""a"": 253, ""sw"": 176, ""mp"": 704, ""oc"": 176, ""e"": 66, ""c"": 253, ""d"": 253, ""u"": 176, ""_amn_r"": 956, ""st"": 176, ""asm"": 1}","{""mapping"": 7260, ""connectivity"": 15950, ""gates"": 13876, ""swap"": 7548, ""assumptions"": 23}"
12,lb,False,0.08419120000326075,2300,5468,305243,28,3490,42456,"{""a"": 23, ""sw"": 16, ""mp"": 64, ""oc"": 16, ""e"": 6, ""c"": 23, ""d"": 23, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 660, ""connectivity"": 1450, ""gates"": 1274, ""swap"": 752, ""assumptions"": 23}"
13,lb,False,0.1521121999976458,2728,5260,498868,26,3790,54913,"{""a"": 23, ""sw"": 16, ""mp"": 64, ""oc"": 16, ""e"": 6, ""c"": 23, ""d"": 23, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 660, ""connectivity"": 1450, ""gates"": 1274, ""swap"": 752, ""assumptions"": 23}"
14,lb,False,0.5547726000004332,10660,25685,1994173,383,4090,55281,"{""a"": 23, ""sw"": 16, ""mp"": 64, ""oc"": 16, ""e"": 6, ""c"": 23, ""d"": 23, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 660, ""connectivity"": 1450, ""gates"": 1274, ""swap"": 752, ""assumptions"": 23}"
15,lb,True,0.04210210000019288,946,2991,105549,59,4390,52067,"{""a"": 23, ""sw"": 16, ""mp"": 64, ""oc"": 16, ""e"": 6, ""c"": 23, ""d"": 23, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 660, ""connectivity"": 1450, ""gates"": 1274, ""swap"": 752, ""assumptions"": 23}"
