t,phase,sat,elapsed_sec,conflicts,decisions,propagations,restarts,n_vars,n_clauses,var_counts_delta,clause_counts_delta
19,ub-probe,True,0.08267579999665031,2278,8622,324952,40,5582,71730,"{""a"": 437, ""sw"": 304, ""mp"": 1216, ""oc"": 304, ""e"": 114, ""c"": 437, ""d"": 437, ""u"": 304, ""_amn_r"": 1724, ""st"": 304, ""asm"": 1}","{""gates"": 24091, ""swap"": 13612, ""mapping"": 12540, ""connectivity"": 27550, ""assumptions"": 23}"
18,ub-linear,True,0.08054960000299616,2144,7207,394955,48,5583,73378,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 23}"
17,ub-linear,True,0.0007031999994069338,0,1431,5180,0,5584,73401,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 23}"
16,ub-linear,True,0.009065300000656862,79,1595,17847,1,5585,73087,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 23}"
15,ub-linear,True,0.0008138000048347749,5,1431,5352,0,5586,73115,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 23}"
14,ub-linear,False,0.6810387000004994,10308,27699,2621962,553,5587,63362,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 23}"
